R	53.3433	-6.24829	D421	21 Nov 2022	D421\n20:30 - Grand Canal Dock to Hazelhatch (6 mins late)\nDeparted Dublin Pearse next stop Tara Street	Southbound
R	53.3531	-6.24591	E842	21 Nov 2022	E842\n19:47 - Bray to Malahide (6 mins late)\nArrived Dublin Connolly next stop Clontarf Road	Northbound
R	53.3629	-6.22753	E258	21 Nov 2022	E258\n20:15 - Malahide to Bray (2 mins late)\nDeparted Clontarf Road next stop Dublin Connolly	Southbound
R	53.3725	-6.29869	P678	21 Nov 2022	P678\n20:07 - Maynooth to Dublin Pearse (2 mins late)\nDeparted Broombridge next stop Drumcondra	Southbound
R	53.3776	-6.39072	D934	21 Nov 2022	D934\n20:10 - Dublin Pearse to Maynooth (0 mins late)\nDeparted Coolmine next stop Clonsilla	Northbound
R	53.3815	-6.17699	E942	21 Nov 2022	E942\n19:35 - Bray to Howth (3 mins late)\nDeparted Raheny next stop Kilbarrack	Northbound
R	53.3909	-6.15672	E130	21 Nov 2022	E130\n20:30 - Howth to Greystones (0 mins late)\nArrived Howth Junction next stop Kilbarrack	Southbound
R	53.4032	-6.14839	D825	21 Nov 2022	D825\n20:15 - Dublin Pearse to Drogheda (4 mins late)\nDeparted Clongriffin next stop Portmarnock	Northbound
R	53.4273	-7.93683	A719	21 Nov 2022	A719\n19:20 - Galway to Dublin Heuston (6 mins late)\nDeparted Athlone next stop Clara	To Dublin Heuston
R	53.4509	-6.15649	P624	21 Nov 2022	P624\n20:00 - Drogheda to Dublin Pearse (3 mins late)\nArrived Malahide next stop Dublin Connolly	Southbound
R	53.4933	-7.15576	A914	21 Nov 2022	A914\n19:17 - Dublin Connolly to Sligo (9 mins late)\nDeparted Killucan next stop Mullingar	Northbound
R	53.6888	-7.60299	A915	21 Nov 2022	A915\n19:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Edgeworthstown next stop Mullingar	Southbound
R	54.0007	-6.41291	A134	21 Nov 2022	A134\n19:00 - Dublin Connolly to Belfast (8 mins late)\nDeparted Dundalk next stop Newry	Northbound
T	52.5009	-8.20003	A447	21 Nov 2022	A447\n19:55 - Limerick to Limerick Junction(19 mins late)\nTERMINATED Limerick Junction at 20:39	To Limerick Junction
T	53.2043	-6.10046	E255	21 Nov 2022	E255\n19:20 - Howth to Bray(-1 mins late)\nTERMINATED Bray at 20:33	Southbound
T	53.3223	-6.52356	D420	21 Nov 2022	D420\n19:43 - Grand Canal Dock to Hazelhatch(4 mins late)\nTERMINATED Hazelhatch at 20:32	Southbound
T	53.3433	-6.24829	P677	21 Nov 2022	P677\n19:45 - Maynooth to Dublin Pearse(2 mins late)\nTERMINATED Dublin Pearse at 20:39	Southbound
T	53.3531	-6.24591	A133	21 Nov 2022	A133\n18:05 - Belfast to Dublin Connolly(16 mins late)\nTERMINATED Dublin Connolly at 20:31	Southbound
T	53.3531	-6.24591	A613	21 Nov 2022	A613\n17:30 - Rosslare Europort to Dublin Connolly(3 mins late)\nTERMINATED Dublin Connolly at 20:31	Northbound
T	53.3531	-6.24591	A913	21 Nov 2022	A913\n16:55 - Sligo to Dublin Connolly(-1 mins late)\nTERMINATED Dublin Connolly at 20:35	Southbound
T	53.378	-6.58993	D933	21 Nov 2022	D933\n19:43 - Dublin Pearse to Maynooth(-2 mins late)\nTERMINATED Maynooth at 20:32	Northbound
T	53.3831	-6.4242	P325	21 Nov 2022	P325\n20:25 - M3 Parkway to Clonsilla(-1 mins late)\nTERMINATED Clonsilla at 20:35	Southbound
T	53.3891	-6.07401	E941	21 Nov 2022	E941\n19:04 - Greystones to Howth(5 mins late)\nTERMINATED Howth at 20:34	Northbound
